@RELATION RUN_EVALUATIONS

@ATTRIBUTE openml_data_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
9957,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.856872,ok
9957,1,6409_weka.FilteredClassifier_NaiveBayes,0.756398,ok
9957,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.869194,ok
9957,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.872038,ok
9957,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.848341,ok
9960,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.932368,ok
9960,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.994685,ok
9960,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.888746,ok
9960,1,6409_weka.FilteredClassifier_NaiveBayes,0.525843,ok
9960,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.704912,ok
9960,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.996334,ok
